,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp
0,2,Afternoon Run,8182.3,2425,2609,269.0,Run,Run,,7594454036,2022-08-04T22:47:15Z,2022-08-04T16:47:15Z,(GMT-07:00) America/Denver,-21600.0,,,United States,1,2,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84974789619446, -113.98814261890948]","[46.84975041076541, -113.98771715350449]",3.374,4.844,78.7,True,155.2,165.0,False,True,1245.2,980.6,8100750047.0,8100750047,garmin_push_9351586604,False,0,0,False,41.0,56603883,1,a7594454036,mi}|GtbvvT@i@HKDA~BJlAP~@HxA@`@ChACfAOd@S`@Cn@IhEGt@FTAXBr@I\@b@Cn@HXEx@C~AElBHdBBPAf@BbBGHAHE^[b@g@XGHGHKh@e@Z_@HEX[f@[n@m@|AeBFCjBsA~@i@b@c@^QdBaBf@]fAaAf@]XIPMjA_AbBkBZ]R_@XYnBuDN]La@D_@GMCc@@_CO{DCuAG_AQ_ASc@U]yA_Bk@u@sDkGSWQOs@]IMES@UN[|@m@`Ak@RUL]BWCOs@}BSsAEa@G_B@UDO\e@^q@b@eAn@oBBi@AkBCkA@YLMn@a@\a@d@{@Py@Bm@MuB?aCj@}EFu@CWGY]c@o@Se@Eo@MQMGO?SLa@x@{@l@}@f@iANi@|AwIJcB?aAFXCzAGzAW|@YxAo@fEOb@Ud@eAfAo@h@GJCPBPHJJHrARp@`@VTJVFZ?l@UjA_@hD?vBHnB@p@Id@Qf@g@bAc@f@{@`@KPAPJdADnAAt@Mh@uArDMX[`@INAVPxBj@~B`@rABRARM`@QRSN{@`@s@f@MRANDNJHd@N\Nh@l@b@l@tCxEhBdC^l@Vp@Fb@B`@B~DH~A?l@DzAA|@E^GR[j@[b@]Ru@|@i@`@]\{@l@UHw@RWLg@Pe@T[DSDq@\gARw@TaAb@i@N[PiBd@I?UEG@?FDDPBd@R`@TRDBRCHMLk@Z]?[MK?ALHJj@Xb@P\BTC`ANZBX?FBAF[^}@v@uBrAk@f@m@j@_@d@a@^s@d@{AvAg@Ze@d@i@^gAF[CeBBuDEa@@g@Hw@?GCc@Fe@E}@Dc@A{@@[GcAA{@HuAAuADWBa@Li@JMAeAFg@G_ABkAEqB@]Em@AeABEBEL,2,,,,
1,2,Afternoon Run,6489.6,1577,1626,25.9,Run,Run,,7594452936,2022-08-03T23:57:17Z,2022-08-03T17:57:17Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,1,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84975242242217, -113.98823616094887]","[46.84972560033202, -113.9876148942858]",4.115,5.326,79.8,True,157.3,183.0,False,True,989.8,977.9,8100748791.0,8100748791,garmin_push_9351585372,False,0,0,False,28.0,56603883,1,a7594452936,cj}|GvavvTCCOBSCa@Dq@GeALiABm@CIBIJM@WWOCSAmCLc@ES?WK_@Ee@BO?mCN]Cm@@c@GUKk@CW@k@Lm@?g@Aa@?WAw@?UCcA@[AMEMQCKAYFqCA{@@sAAQ]u@CQ?u@Bg@AgBDqAK]_@q@k@w@c@[e@Wk@Uk@[k@Qg@UiA[a@OuA_@q@WgBc@[Eg@?UB[Na@h@MFSD]B_@Ek@c@[KKQ_@cBEoCUaBk@}B_@{@COUk@WgBCg@@uABa@A{@HmBLi@~AeF^_BD]n@gCDUj@mBHi@NYb@aCl@gCZkCDmANeBDSH_CJqA@aAB_@EkFQ_DAcBBI@UCoB?kBS{CAaA@_@N?PvCDzAH~GAfBDpAFt@?TEh@Bl@EpABVAv@BzCKnBIv@Ep@YpBKlAUxAOn@KRSfAQr@MXy@|DQj@EHOhAaDvKEr@Bj@E`AD~@Ct@R~@Db@Lb@Ht@^tAPdAr@bCAjA@`@DNNNDRFfBFHTJj@^JB~@BJEv@}@LGtABfAPLDCDZB|@THDvDhApAf@d@TbAp@h@h@Xb@`@~@H^FxJBt@T`AL^@r@EV?t@@\BFz@DZHb@D~AI`A?z@DbA?n@@dCAT@x@JpA@ZDf@AnA@,2,,,,
2,2,Afternoon Run,8176.0,2461,2586,269.2,Run,Run,,7573046532,2022-08-02T23:14:39Z,2022-08-02T17:14:39Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,5,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.849537091329694, -113.98810498416424]","[46.84968855232, -113.98785838857293]",3.322,4.654,78.7,True,161.3,181.0,False,True,1245.2,980.3,8076940421.0,8076940421,garmin_push_9326399096,False,0,0,False,56.0,56603883,1,a7573046532,ch}|GvevvTDUDaAAe@@OHOHCz@AxARN?XDt@Az@BRAL@LCVDl@EPB`AEd@UBB^AnAFbDOX@TDN@nAGZ@r@Eb@D`AKv@?p@GXAPBr@Ad@BvACl@Cj@F`AEXIh@c@d@YRQ^URWp@_@lA{@VOb@m@\a@r@i@^Wf@_@v@c@d@c@TIRUXSHKRKPS`A}@JGl@o@n@[XUZOPE`@[`B}AlAyA`CcEj@wAF]EuADs@KuBCO@ECWDSImAD_A?c@Eq@I_@c@}@[k@]g@o@u@y@iAYi@}A{BQc@c@s@Y[u@]QUAU?IL[zAw@d@[JQLa@@]s@oBk@wBIm@BIIu@?e@FUJCNQJWHCZc@Tu@HGVk@XaAF_@Ea@CwAA}A@GBGJGPITCPINMVa@HS\oAFe@?WUsBCyBBg@^kBPmA@mAOg@][s@U]A]I?AQMIQA]HQj@a@n@w@R[Zo@\eBLmATgAn@iDF_AHk@Bq@DR?b@c@fCUv@Kd@QvAk@hDMd@Q^Y^s@v@u@j@GN?XFJJF|AVZN\TPZJ\?l@C`@OjBS`BCf@@jBFtA@~@Ed@Sn@q@nAST]LSLQTCHAPLrB@^Cr@YdAu@nB[p@a@j@GNARLhBDb@h@`C\fA?`@M\W\uAt@g@\MRARBLHJz@XPLX\dEpGFPlBnCZp@R`AD`AHvDLvA?hDG^GRm@z@g@`@s@|@e@^k@n@[NSN]Ly@NSHy@Xa@R[Fw@\cCn@{@b@[Hs@X}@Rc@NOAQGC@AJBD~@^RPRFFJGPq@\WBUCSGE?C@AB?LdAf@b@Lb@CzAP`@?D@@Dg@f@i@`@aDvBgBlBoBtAc@d@YTkArAa@R}@FeA?yBBGCc@?]C}A@o@E{ARSAw@?i@Cm@?q@EmAD[BsDCe@@YDYJaAL_BCq@E}@C{AHSDU?gAKa@Bi@AKDEJ,2,,,,
3,2,Afternoon Run,6496.2,1694,2108,47.5,Run,Run,,7573044999,2022-08-01T23:33:26Z,2022-08-01T17:33:26Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,2,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.856699427589774, -113.98627957329154]","[46.849715039134026, -113.98774447850883]",3.835,8.608,78.6,True,155.7,177.0,False,True,1014.4,977.9,8076938745.0,8076938745,garmin_push_9326397591,False,0,0,False,29.0,56603883,1,a7573044999,iu~|Gf}uvTWbAORMFCAIGC]?cACa@@UDW?MGc@O[CQOwAGSHyA@{AFgAE]S_@LGSU?OMg@a@u@COOUCO_@u@IWKKAIEACIQIUUc@OSOOGk@e@]S_AYG?ECW@g@DaAECA?Kc@ECIm@ACEM@GCCEO?KIm@L]PMJQd@?CSFK?EEq@HME[QS?KCCOIMCQ?]K[UOKKGu@@_@a@aA_@oAG[@]My@]iAQeA?kABgACMBQC_@JS@EEi@@_@BUNc@@WLa@AMJWBUBGFC@KJULKHQKkA@K^o@Ro@T_@AIPSHOp@yATq@Fc@HYV_@?]TkA?MJc@FE@S?UFg@BG@SDWHO?IDIAUF[@]^cCA{@HaAE_@DQAUDOAKFE?IYqFGu@Kw@CyABGASLa@Hu@C}@@eACi@?q@Gc@?g@Es@A}@DcAGWKgAJHFPBj@NnADv@Al@@xAClAFlACJAt@?~ADjA?bA@PAPDRD`BG`@B\EzA@j@C~@ETEhAAH?^@JA^OtAGRCZ@^Ih@Cz@G^Qb@GZEf@IPUx@U`@e@|A?JSb@Id@Kv@IPGZWr@_AxDMx@e@rAMl@ERCl@BjCG~@@XCn@BL?Ph@rBRf@Bh@Hj@P`@Ht@XnAATHvAFJLNNd@?NH~@DFn@j@JBf@?ZGz@y@LIx@GPBjA`@j@Lr@RjAf@nATp@PrAj@j@RnAl@f@b@JLv@|AHZFrFEXAjABt@B\T~@Pf@@j@EhBBPBDNDx@KhBJ~C@p@LZBbA?f@Ed@Ar@BhCApAHd@@|AGjBBjBGdC@`AETDJN@H,2,,,,
4,2,Lunch Run,8131.7,2742,2755,45.5,Run,Run,,7573044054,2022-07-30T17:59:11Z,2022-07-30T11:59:11Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,3,0,2,0,False,False,False,False,everyone,False,g6848836,"[46.862392416223884, -113.98051341064274]","[46.8840688560158, -113.93350224941969]",2.966,4.2,77.5,True,151.7,164.0,False,True,998.9,977.9,8076937680.0,8076937680,garmin_push_9326396620,False,0,0,False,33.0,56603883,1,a7573044054,}x_}GfytvTQUE_@CaAIk@CECSOo@KQ?EM]?o@AMUcAM]BGGW_@oAI_ABUE]@IHI@iADYAeABa@Ru@P_@`@mAHc@Re@Nq@Tq@FYVw@JQP_An@_Cf@wBHSZeBPq@De@DMHu@VqA\qFAWDaAAm@DUB}@IyC@}@EiA@u@CsA@}@CyAG}@?cEKsB@_@G{AAoCE{@Bs@?cBEoA?]KkBEoBVM?GGg@C_@CmAK}AEmBI}A?aAOyAFW@e@Gi@EME]?_BQkAKa@Kw@@UCeAWcAEo@_AmHAUQy@Is@S_AGkAQuAGw@K_DCUGiC?gBCsBEk@C{@GgAOmAAg@o@gDU{@eAuBAESSQUAEMIi@m@MQAOEECOIS[[MQE[EKDKIa@a@{@w@eAc@sA{@gBOk@SmAw@yCOcAOg@o@gAUw@]q@GYUk@CO?[AOIYi@m@eAs@ICo@i@kBqCq@w@o@sAm@cAKYi@w@UUi@kAa@s@M_@WqAg@_BGYKSaAoCY_@GCWCOIIIWq@CQK]OWGAGBUREPC`@K`@Cb@INUFICa@[_@Q[IWAOGc@EYQGQCAUAi@?c@C[KWC{@@I?_@Qy@Ca@K_@@IAa@ASB_@A{@H_ABg@FiBHy@b@}B`AiC~AYJm@DaAX@@I@ELKHIACCa@mBEKMIM?QD_C`AQCk@_@KCI@BZ@`@\t@Tl@DTLZPjAn@zBTl@J`@b@tBXx@X|ACPELOJg@NYBa@JYBeAXw@F_A@UAsBw@YAMBICaAmAYUMQSS}AiB[c@MKQAQGUOqAsAMOICC@AFFTAP,2,,,,
5,2,Afternoon Run,6450.8,1653,1731,20.2,Run,Run,,7573042481,2022-07-29T23:50:22Z,2022-07-29T17:50:22Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,0,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.86159227974713, -113.97178919054568]","[46.849757032468915, -113.98843162693083]",3.902,4.95,79.5,True,169.9,189.0,False,True,992.9,977.9,8076936027.0,8076936027,garmin_push_9326395038,False,0,0,False,53.0,56603883,1,a7573042481,}s_}GtbsvTVgADMTqADOAQHi@Bk@HYBa@FSDw@T}ADiA@mAEm@CsEM}BA_@BGK}BAiBGaAA}CCi@JoAFsCLa@Bc@BGRhA?\Gx@BfAFj@Cx@Gx@HjBAh@D\CJBRCj@DVCL@h@Hj@?l@DR?TDh@AJFtAAh@BTB~@AJ@TA`@@l@GrBET?j@OlAC`AOlAMdCG\Od@Ud@Gf@KT?J_@~@c@|AOlAm@zBMXUlAg@zAWnAo@~A[tAAl@Gr@F|ACF?b@FbARdAFLRz@FFPl@Jz@BPFHBTRn@ZpBAdBDNRPLVBN?nA@BXNNJRFVBr@@LEr@w@JGf@Ev@@fD|@dDnAvB~@ZRNPh@XRPT^d@z@Rh@BT@fBAlBDpB@~@f@|B?|BB\@DBDLBh@AZHh@BT?fAGhB?^AdDPjCAdAH\EjA@z@Gp@B\Cj@Bl@ArB@hAKx@D`ACTDHP,2,,,,
6,2,Afternoon Run,7774.2,2473,2659,269.1,Run,Run,,7573041481,2022-07-28T23:50:35Z,2022-07-28T17:50:35Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,0,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.84926962479949, -113.98792963474989]","[46.84970682486892, -113.98800783790648]",3.144,4.866,78.1,True,167.0,185.0,False,True,1245.2,980.4,8076934889.0,8076934889,garmin_push_9326393917,False,0,0,False,70.0,56603883,1,a7573041481,}f}|GpgvvTDMDiEF[LI`ACh@BL?h@F|@?JBL?pA?X@VHp@FZ@f@AZEZKh@EnA?f@H`@EL@RAp@BRFJ?d@MP?XGL@^IVB@BdA?LCxAKBEPDt@GDB^@v@EVBh@AXET@XDb@CJDd@?p@ETG^g@PKX[ZSTWh@c@NOx@e@Xo@p@o@VO`Aq@PE\SPGz@q@\]~BsBZMn@k@PKLMZSHIx@c@ZYnC}CDKr@cAXm@x@qAXm@Nm@@_@Ao@Ha@FuAAqBDaAAcAMqBCo@GAO[m@cAq@w@KSwBeDUc@gBuCSSi@UYWIUAW@YJOz@g@~@c@VWL]@_@Wk@IY{@sDKmB?]BIh@e@R[nAeDNi@BSE}@AqA@s@BSFMNKb@OJG\q@\y@R{@C}@KcBAeAHmAj@{E@YAWI[U_@i@Q{@I_@KUWGUAKBSHQt@q@p@_AXk@HYRwATiAPoAr@wCFw@@cABSE]KONRBXEh@AjAE`AMh@uAvIIXQZeAlAo@n@MPAR@DBDXLjAX|@t@R^B\CdAY~CGjA@nAJ|ABr@En@S~@g@|@]`@MHUFSLKJEHCRHbB@bAEn@kAlDYr@SZONEPTjC`@lBd@bBBR?RKVSZcAj@{@l@OPGV?DHL^Lb@TTPLPr@bA|AlCpBpCz@xATh@R|@HpAFtCPjCFvDAPG\c@fAiArBy@lAo@z@c@`@UXg@d@g@b@i@`@gCtAgAz@qBhBqAdAc@V]J{B~AyA`B_@TcExDk@d@u@@mBEmABk@Eo@Iq@@UCkBH[FW@WCa@?kACSDcBCYByBB}@GoAFQBYJqANsBBeAG[@s@Ak@DoAImABK@CD?X,2,,,,
7,2,Afternoon Run,6512.9,1704,1761,43.6,Run,Run,,7573039899,2022-07-27T21:53:09Z,2022-07-27T15:53:09Z,(GMT-07:00) America/Denver,-21600.0,,,United States,0,0,0,1,0,False,False,False,False,everyone,False,g6848836,"[46.85922212898731, -113.9756409265101]","[46.84980908408761, -113.9874111302197]",3.822,9.288,78.3,True,186.2,197.0,False,True,1206.4,977.9,8076933232.0,8076933232,garmin_push_9326392369,False,0,0,False,96.0,56603883,1,a7573039899,ce_}GxzsvTRu@qEqEGi@P_@ZiAHq@JYGOX_ARg@JODQLMH_@LSh@wAJs@^yALy@BILMLuBHoCKqEKsBEsAQgCKkDk@iJwIeDEb@@tB?HEBCZBp@CdBLpFAz@B`ACj@BrA@pEIzAAlBE\Ov@EtAWhBw@rDe@jA[fAGl@YxAc@tA_@bB_AfDGd@m@bB_@lAKv@B~BDl@Ap@Bb@`@pBPp@Hn@Rv@LjAl@rCB\@nA@FVTTbA?p@LNl@^|@FTETk@`@WJCr@Cb@Bb@NdB`@~Bn@j@Jx@T~BnAbAb@d@^bAxALZH\?dAEzB?xDBp@ElBNn@Vv@@`@DLt@?^JT@lBEtBBb@CbB@~AB\FnADh@CjABbAAb@@r@Ep@@`@A^BbBC`BFlB?T@TDDDFR,2,,,,
8,2,Afternoon Ride,13605.6,3377,4381,541.8,Ride,Ride,10.0,7496925887,2022-07-19T23:36:47Z,2022-07-19T17:36:47Z,(GMT-07:00) America/Denver,-21600.0,,,United States,3,6,0,1,0,False,False,False,False,everyone,False,b8045120,"[46.84918010607362, -113.98687418550253]","[46.85003539547324, -113.98834872990847]",4.029,13.004,,True,87.0,87.0,False,True,1476.9,980.6,7992485583.0,7992485583,garmin_push_9236897407,False,0,1,False,5.0,56603883,1,a7496925887,kf}|G~`vvTlBPjGDx@GjBa@|B@^[`@PvB?p@H|AIbABrCO`EJlDAp@GnDeDpA}@pAoA\g@nD}BnGsF`B_AtAeApDiEfB_DXs@Jg@GmFUoHUwAUi@{B}CeEcH]_@}@g@Ka@@QTYvBoAVm@Ag@o@_CWyAMuB?g@x@uAtAwDBgAAcDBSLOv@]X_@f@iANu@KuD?iAF_Ad@cEDq@C]K[a@c@k@WqAYMQEYFWjBqBj@}AdB_KJaCGk@qAmBi@}@_@c@o@g@e@qAi@q@Ug@_Bm@m@yAYa@Y{@FMkAwBKq@[cA_BmAg@ScBgBc@]q@YkA?aCq@_AKu@m@yAmBu@WmAcAyAq@k@m@o@Qa@_@{BmAOWc@[}A_@g@w@m@mAi@o@c@w@uAm@UUq@Sq@Ea@Ly@OqA\e@EGH[DEGEDw@Gi@Bg@TAJDRT`@bB|@dAv@d@xA@\G`@e@v@[LmAB_@XSj@a@|Dg@lAqB`Aq@~@u@p@gAdCoAhAOTy@D_@PRKbAEl@m@h@_@\g@p@gBzAmBXUbA]^U^aAd@yDb@oAj@OrAGNKLWPo@Do@AW[_Ag@e@uCqA[c@@UNYb@Mz@T`@@f@Qt@E^K`APxAG`@Jj@^x@Nd@VbApAhAjB^b@NJrA^fAz@~C~Ap@n@~AfA`A~@fAp@~B`CbA`@|@Nh@Bx@I~@Pv@d@|A`B~ClBZv@Hz@J`@f@`AZfAxAdDXTp@Tp@d@f@~@t@dB~@v@Zr@~@bAXh@F`@M~Co@xC{@jFc@dAmBtBE`@@NRRtAXl@V`@f@Jd@C`Ao@lFAnAJzB?`AOv@e@bAW`@_Aj@KPIRF`A@`BCt@EVeAxC_AfBGPPrC`@nBb@zABf@CP[d@uBpAO`@@PPXt@ZXXbE|G~BfDTf@VxAZhJ?nBKr@e@`A{AbBcA`Ay@j@ePfFiBb@e@EATHHz@n@ZJFLELq@Va@A]KGDCFDLZZb@Tf@LrFXBHIJaAZ@NpAh@jAr@n@PBJEJMFg@H?JLNt@H@NWZeCvAsAj@k@LM\m@`@yB`@uMIM@]Z_DBeBTe@E_@JkA@uBXoASiFLkASwDEs@OqD@yB[wBDWPCX,2,168.6,569.2,False,
9,2,Afternoon Ride,13624.7,3433,4007,540.9,Ride,Ride,,7496592709,2022-07-18T23:01:33Z,2022-07-18T17:01:33Z,(GMT-07:00) America/Denver,-21600.0,,,United States,4,4,0,1,0,False,False,False,False,everyone,False,b8045120,"[46.84831207618117, -113.98690746165812]","[46.850070683285594, -113.98830807767808]",3.969,13.796,,True,86.9,87.0,False,True,1476.8,980.6,7992124864.0,7992124864,garmin_push_9236571325,False,0,0,False,5.0,56603883,1,a7496592709,}`}|GdavvTBIb@BFETJl@DpAGHHfDo@xBFdCI`GHbFOxBHzEEdE{Dz@k@lCkC~DoCrF{ExCkBfCoCr@_AjBeD\y@D[GaESwHG{@UeAa@{@{AuBmEuHc@c@_Ai@GO?SDORUrBkAVk@Cq@e@gB]eBOyB@a@~@aBrAwD@mAGsCDULSt@[\c@\o@VgA@g@K}BAgBJyAd@}C@gAKe@]e@q@[wAYOOCYFWr@m@t@_Af@kA`AuFf@}BReDCi@e@aAm@y@[o@oAiAq@gBm@cA[Qk@Km@_@[{@kAmBYy@C_@g@eAKk@?WWg@{Ao@s@c@i@o@a@Wg@w@s@i@aDAYWi@Hy@U_AuA]YKUe@Ye@Km@m@o@Y]YWCm@o@Ia@[QQYe@W_B]S[g@g@{@SQOu@Gm@cAe@c@I]g@i@[_A[Sa@I_@i@QCw@]kATw@Ka@P}@GGC@CCFWCIEwAVWEUJGKEb@NVpBbAdAz@VrBGlAYf@_@VkAN]AOJUv@i@|DYv@UR}Al@URYf@_AfAc@rA_@r@sAjAMXYFw@AGGHPTIr@A|AoAj@y@r@gBhAuA^YrAk@Z]Vq@DYL{BL_AJ[^o@zAG^OXa@FUBiACW[}@k@g@uCoA[[GWbAQt@@dB]rBCv@NhACtC|@j@l@Pb@fCxDpA`@nBtAn@XzAz@rA~@bAf@~@x@`An@fChCrCv@pBLl@Nj@^`B|AjCfBJPb@rBbCpEb@rAPVbA`@r@~@NTb@~ALX^Jj@^Xt@^\t@xABTEdAQpBaBlJg@jA}@hAm@j@GJAPH^TTtATj@ZTZLd@AdAo@rFA~@JnC?z@S`Ac@|@e@f@q@ZOVA^HtB?jAEVmAhDy@xAOd@P|BZxAp@dCAh@Yl@sBhAQRAPD\jAn@b@h@zDnGhBjCh@fAH`@Hx@T~HB`CQbAm@dAwAzAuBdB{A`@aBr@iJtCaB^i@ACHLT~AdA?Jm@\mAEAH^d@\Vb@J`@ApE\BFGH_A\AFRP|BhAp@VFFAJGJi@HGHVRp@HANILeAv@gCpA{@RS`@y@b@gBXwDG_HDWDMRMBqC@}AR{AFu@AeCZyASu@H_BCcAHgBQkDESIeEIiA@o@QmACo@?QHKV,2,168.5,578.4,False,
