,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
15,2,Afternoon Run,394.1,63,63,0.0,Run,Run,,3377430926,2020-02-12T23:32:42Z,2020-02-12T16:32:42Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.845989, -113.996769]","[46.846085, -113.996726]",6.256,7.0,92.6,False,False,False,979.1,975.8,3608828643,3608828643,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430926,kr||Gx~wvTZIJKNo@?a@Ga@QWKGKEW?eDHSFSRKZC\@NHZDJRPHBTBtCI,2
16,2,Afternoon Run,384.7,62,62,2.9,Run,Run,,3377430910,2020-02-12T23:29:20Z,2020-02-12T16:29:20Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.846912, -113.995929]","[46.846818, -113.995984]",6.205,7.1,94.6,False,False,False,979.1,975.9,3608828612,3608828612,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430910,ex||GpywvTSJSVG`@ARF^FNPTJDTBdAEbB?TGNQJ_@@MA_@AOMWQOSCcDJ,2
17,2,Afternoon Run,386.0,62,62,0.0,Run,Run,,3377430914,2020-02-12T23:26:00Z,2020-02-12T16:26:00Z,(GMT-07:00) America/Denver,-25200.0,,,,1,0,0,2,0,False,False,False,False,everyone,False,,"[46.845986, -113.996781]","[46.846097, -113.996734]",6.226,7.1,93.5,False,False,False,979.0,975.8,3608828614,3608828614,stripped_health_data_56603883_1588289661.gpx,False,1,0,False,56603883,1,a3377430914,kr||G|~wvTVKHIFMJa@?c@G]QUIGe@CuCD_@FIDORIZANB^JXZVH@`AE`BA,2
18,2,Afternoon Run,391.5,63,63,3.0,Run,Run,,3377430945,2020-02-12T23:22:43Z,2020-02-12T16:22:43Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,3,0,False,False,False,False,everyone,False,,"[46.846904, -113.995957]","[46.846861, -113.995974]",6.214,7.1,92.9,False,False,False,979.1,975.8,3608828688,3608828688,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430945,cx||GvywvTWJIHIJIb@?PD`@NZRNVBjDMTIPQDMD]?]COKWQOICUA_BHaA@,2
19,2,Afternoon Run,380.4,61,61,0.0,Run,Run,,3377430913,2020-02-12T23:19:29Z,2020-02-12T16:19:29Z,(GMT-07:00) America/Denver,-25200.0,,,,1,0,0,2,0,False,False,False,False,everyone,False,,"[46.845994, -113.996763]","[46.846114, -113.996726]",6.236,7.2,94.0,False,False,False,979.0,975.8,3608828618,3608828618,stripped_health_data_56603883_1588289661.gpx,False,1,0,False,56603883,1,a3377430913,mr||Gx~wvTTIHKFOHa@?QEa@EMQSWG}C?a@DSJGHKZC\BNPf@PRHDV@lCK,2
20,2,Afternoon Run,392.3,61,61,3.0,Run,Run,,3377430924,2020-02-12T23:16:05Z,2020-02-12T16:16:05Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[46.846919, -113.995918]","[46.84682, -113.995949]",6.431,7.4,94.4,False,False,False,979.1,975.8,3608828628,3608828628,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430924,ex||GnywvTKDYXG\Ah@BRLXRPV?HAJBHEJBLGDBLAH@NDJCFBl@CVERQDMH]?_@G[MUIGUCkD@,2
21,2,Afternoon Run,386.1,63,63,0.0,Run,Run,,3377430925,2020-02-12T23:12:51Z,2020-02-12T16:12:51Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,2,0,False,False,False,False,everyone,False,,"[46.84599, -113.996771]","[46.846055, -113.99674]",6.129,6.9,93.9,False,False,False,979.0,975.8,3608828627,3608828627,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377430925,mr||Gz~wvTXMHIL]BQ?QC_@MWUOUCa@?qCFUJOTGZ?\Lh@PTJBT@^EbBEV?,2
22,2,Afternoon Run,3262.0,906,947,9.4,Run,Run,,3377430990,2020-02-12T22:35:16Z,2020-02-12T15:35:16Z,(GMT-07:00) America/Denver,-25200.0,,,,2,0,0,8,0,False,False,False,False,everyone,False,,"[46.863887, -113.984417]","[46.846719, -113.996766]",3.6,4.8,78.1,False,False,False,983.5,975.3,3608828650,3608828650,stripped_health_data_56603883_1588289661.gpx,False,1,0,False,56603883,1,a3377430990,gb`}GrquvTCMDBDCF@AULCBBDCF@FADDFABDLCTDBELBDAF@DCJAr@Fj@?lAH^AZKp@Bt@Ab@Et@?`@GJD`@?VDPCf@QZ?TJPNZn@Rh@Nx@Dn@FLD@j@@fAA^ED@HJJRB^JVNPRNR?ZLv@@XHHVAdBDLNFz@?dAFlB@~@AnCDrB?f@AbA@t@A`AB`B?VDX?hAAXCbABJD`AEfAArABtAAbABnAKn@?`@C`@JLFJLTp@Dp@DjBCrB@hEAfAEZBdCExBH|@@xC@p@?fACl@?hFBjA?dABh@Fd@PVDPAtCHnADJH@`AGTCLG@ZFHdB@B?DKBi@DO@BJAZ_@hAH\CJ@bAEL@D@DN?JNe@R[H[Ak@GWKQOKMAm@BCHsACq@@QBOHMRG^?XF^LRNHRDZADD,2
23,2,Afternoon Run,12212.4,3262,3297,113.1,Run,Run,,3377431208,2020-02-11T22:40:24Z,2020-02-11T15:40:24Z,(GMT-07:00) America/Denver,-25200.0,,,,5,0,0,2,0,False,False,False,False,everyone,False,,"[46.863627, -113.984126]","[46.863659, -113.984079]",3.744,5.4,78.7,False,False,False,1071.8,976.1,3608828788,3608828788,stripped_health_data_56603883_1588289662.gpx,False,2,0,False,56603883,1,a3377431208,s``}GxouvTUHEIaAHu@Lc@EuA@aAEcAA{@HQCcAe@mA]q@Mm@Yy@SwAo@{@I}@c@c@C{Ai@oAo@KMO_@OOa@[]Kc@FMCEEGOAKBeAK[OUGCQDY?g@QE?MJm@z@Ur@c@r@{AxCe@t@MPYN[VSVI?UOm@q@cAw@_@c@_@s@k@_B]o@[c@]YsAc@e@g@W_@g@aAKc@Mw@KiAKo@Ce@UsAWu@S[QUYMsA]_BWk@BUA[Iq@k@IKYo@MQK]MUe@m@_Ag@i@_@_@i@GSGm@IwBCQCII@o@`@a@JeB?c@BmACOBSLA^Dv@CTI\g@Xa@Hg@Gq@Fc@MsAUu@K]AgBLyDA[Bg@Co@@qCQw@@[Cg@DuBGgEBoCEkAFeAAu@FiDHsBCuBB{@DuBCg@@eAIkC?eCIkABo@J{Br@aBTsA\SPe@h@]`As@rAaChCq@d@m@Ra@Fy@DY@eAQ_Ac@qBuAw@q@eAs@[[mAw@aCmBq@s@qA}As@q@_@g@][e@k@uA}A_BaBwBgCaAcA]WsAy@qAc@e@Iq@C{C_@_@Sq@o@y@oA[q@k@}@SYe@c@{@cAQa@Ig@Cw@FoBHu@Aa@O{@Iq@e@qAM{@Ce@GYA[NgA\}@FGBBT\HHbA`@nARb@Br@TNNP\PTRJbANjAEXIPm@Pa@X[JEx@BfCt@`@JJAHKJYh@mCFOJG`@CXFLFz@A~CLrBA~BInEBPC^OpBkA\WRGrAFfL?jAHf@EvCAl@DRE^Fh@@b@EzAF\Ex@A|A@|AAdAEn@BdACr@Ht@C~BBj@O`@C|CF|@CtBBZBZE`@A`BFlAElFD`FChC@RLHPDhAFXFR@x@BnBKvFBx@AnBBzCKtBFHHHLBn@Fn@CvD@h@CjBBh@DnD@zDEtBJlAEfD?nBEb@F`@V`@NVT`AfAdAxA\v@pA|BjAhBLVp@hAfA`B`BhC\t@Zf@~AnCt@hAZn@RV`A`BZj@JZPTdAfBLXNPJVp@bA\t@nAfBdApBFf@AJMf@?JNF^@PDNJPRL\?jAFJJFp@A`@J`BnAzA~@TVFBn@HbAd@f@B~CjAfAV`@Nn@Nt@Vl@Xl@DjBBx@G~AFr@Cp@Kt@C,2
24,2,Afternoon Run,9.8,195,195,0.0,Run,Run,,3377430915,2020-02-11T00:51:51Z,2020-02-10T16:51:51Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.05,1.3,63.2,False,False,False,,,3608828615,3608828615,stripped_health_data_56603883_1588289661.tcx,False,0,0,False,56603883,1,a3377430915,,2
25,2,Afternoon Run,3426.7,993,998,12.3,Run,Run,,3377431013,2020-02-10T23:42:16Z,2020-02-10T16:42:16Z,(GMT-07:00) America/Denver,-25200.0,,,,0,0,0,3,0,False,False,False,False,everyone,False,,"[46.869471, -114.022282]","[46.863884, -113.984124]",3.451,4.6,79.3,False,False,False,979.0,966.5,3608828678,3608828678,stripped_health_data_56603883_1588289661.gpx,False,0,0,False,56603883,1,a3377431013,eea}Gh~|vTEEFBACDHCBGCAEC@GAOFYMEFKCAJCEADEC?JQCCMGmACsBCEEAqAFGEEWBeAAYISUQEM@{BEy@Is@EuABm@Fc@@e@CC?wAGoAAeBByAAaAF}@Fe@De@Q{GHiCF[Na@?GGwE?u@J_BMwDLkCKgFIeB?eAOwAGiCAeDBo@La@X]HWBQX_GTcAN_A?G@CNE@EHy@`@w@V_AXo@^a@j@e@`A{Aj@k@|@qATc@dAqDdCgLTa@X}@n@aCd@{BTcBLcBNyGCqAEu@C{EDaA?qAI}AE}BHwFDOHMNMz@LLEvC_CXa@ZOJIFSFa@`@sALwAJONGFa@HGHCFID}@Pk@AYBOr@eA,2
